FlightDate,OP_UNIQUE_CARRIER,OP_CARRIER_AIRLINE_ID,Carrier,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,Origin,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_FIPS,ORIGIN_STATE_NM,ORIGIN_WAC,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,Dest,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_FIPS,DEST_STATE_NM,DEST_WAC,CRS_DEP_TIME,DepTime,DepDelay,DEP_DELAY_NEW,DEP_DEL15,DEP_DELAY_GROUP,DEP_TIME_BLK,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ArrTime,ArrDelay,ARR_DELAY_NEW,ARR_DEL15,ARR_DELAY_GROUP,ARR_TIME_BLK,Cancelled,CANCELLATION_CODE,Diverted,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,FLIGHTS,Distance,DISTANCE_GROUP,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,FIRST_DEP_TIME,TOTAL_ADD_GTIME,LONGEST_ADD_GTIME,DIV_AIRPORT_LANDINGS,DIV_REACHED_DEST,DIV_ACTUAL_ELAPSED_TIME,DIV_ARR_DELAY,DIV_DISTANCE,DIV1_AIRPORT,DIV1_AIRPORT_ID,DIV1_AIRPORT_SEQ_ID,DIV1_WHEELS_ON,DIV1_TOTAL_GTIME,DIV1_LONGEST_GTIME,DIV1_WHEELS_OFF,DIV1_TAIL_NUM,Origin_lat,Origin_long,Dest_lat,Dest_long,Dest_Airport_name
1/1/2025,AA,19805,AA,N103NN,2455,10721,1072102,30721,BOS,"Boston, MA",MA,25,Massachusetts,13,12892,1289208,32575,LAX,"Los Angeles, CA",CA,06,California,91,0801,0756,-5,0,0,-1,0800-0859,15,0811,1055,16,1140,1111,-29,0,0,-2,1100-1159,0,,0,399,375,344,1,2611,11,,,,,,,,,0,,,,,,,,,,,,,42.3656,-71.0096,33.9416,-118.4085,Los Angeles Intl
1/1/2025,AA,19805,AA,N132AN,1793,10721,1072102,30721,BOS,"Boston, MA",MA,25,Massachusetts,13,11057,1105703,31057,CLT,"Charlotte, NC",NC,37,North Carolina,36,0635,0627,-8,0,0,-1,0600-0659,12,0639,0838,22,0910,0900,-10,0,0,-1,0900-0959,0,,0,155,153,119,1,728,3,,,,,,,,,0,,,,,,,,,,,,,42.3656,-71.0096,35.214,-80.9431,Charlotte Douglas Intl
1/1/2025,AA,19805,AA,N147AA,1445,10721,1072102,30721,BOS,"Boston, MA",MA,25,Massachusetts,13,11057,1105703,31057,CLT,"Charlotte, NC",NC,37,North Carolina,36,1447,1441,-6,0,0,-1,1400-1459,15,1456,1705,12,1720,1717,-3,0,0,-1,1700-1759,0,,0,153,156,129,1,728,3,,,,,,,,,0,,,,,,,,,,,,,42.3656,-71.0096,35.214,-80.9431,Charlotte Douglas Intl
1/1/2025,AA,19805,AA,N154UW,701,10721,1072102,30721,BOS,"Boston, MA",MA,25,Massachusetts,13,11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,0830,0828,-2,0,0,-1,0800-0859,22,0850,1144,11,1203,1155,-8,0,0,-1,1200-1259,0,,0,273,267,234,1,1562,7,,,,,,,,,0,,,,,,,,,,,,,42.3656,-71.0096,32.8998,-97.0403,Dallas/Fort Worth Intl
1/1/2025,AA,19805,AA,N301NW,1741,10721,1072102,30721,BOS,"Boston, MA",MA,25,Massachusetts,13,13930,1393008,30977,ORD,"Chicago, IL",IL,17,Illinois,41,0845,0838,-7,0,0,-1,0800-0859,13,0851,0957,13,1049,1010,-39,0,0,-2,1000-1059,0,,0,184,152,126,1,867,4,,,,,,,,,0,,,,,,,,,,,,,42.3656,-71.0096,41.9742,-87.9073,Chicago O'Hare Intl
1/1/2025,AA,19805,AA,N301NW,1776,10721,1072102,30721,BOS,"Boston, MA",MA,25,Massachusetts,13,14100,1410005,34100,PHL,"Philadelphia, PA",PA,42,Pennsylvania,23,1610,1606,-4,0,0,-1,1600-1659,23,1629,1755,5,1746,1800,14,14,0,0,1700-1759,0,,0,96,114,86,1,280,2,,,,,,,,,0,,,,,,,,,,,,,42.3656,-71.0096,39.8744,-75.2424,Philadelphia Intl
1/1/2025,AA,19805,AA,N335PH,3209,10721,1072102,30721,BOS,"Boston, MA",MA,25,Massachusetts,13,13303,1330303,32467,MIA,"Miami, FL",FL,12,Florida,33,0915,0908,-7,0,0,-1,0900-0959,11,0919,1225,11,1305,1236,-29,0,0,-2,1300-1359,0,,0,230,208,186,1,1258,6,,,,,,,,,0,,,,,,,,,,,,,42.3656,-71.0096,25.7959,-80.287,Miami Intl
1/1/2025,AA,19805,AA,N414AL,2229,10721,1072102,30721,BOS,"Boston, MA",MA,25,Massachusetts,13,14107,1410702,30466,PHX,"Phoenix, AZ",AZ,04,Arizona,81,0907,0908,1,1,0,0,0900-0959,24,0932,1253,4,1304,1257,-7,0,0,-1,1300-1359,0,,0,357,349,321,1,2300,10,,,,,,,,,0,,,,,,,,,,,,,42.3656,-71.0096,33.4353,-112.0078,Phoenix Sky Harbor Intl
1/1/2025,AA,19805,AA,N428AA,1275,10721,1072102,30721,BOS,"Boston, MA",MA,25,Massachusetts,13,13303,1330303,32467,MIA,"Miami, FL",FL,12,Florida,33,0603,0550,-13,0,0,-1,0600-0659,11,0601,0912,7,0959,0919,-40,0,0,-2,0900-0959,0,,0,236,209,191,1,1258,6,,,,,,,,,0,,,,,,,,,,,,,42.3656,-71.0096,25.7959,-80.287,Miami Intl
1/1/2025,AA,19805,AA,N433AN,1509,10721,1072102,30721,BOS,"Boston, MA",MA,25,Massachusetts,13,13930,1393008,30977,ORD,"Chicago, IL",IL,17,Illinois,41,0645,0635,-10,0,0,-1,0600-0659,12,0647,0753,15,0849,0808,-41,0,0,-2,0800-0859,0,,0,184,153,126,1,867,4,,,,,,,,,0,,,,,,,,,,,,,42.3656,-71.0096,41.9742,-87.9073,Chicago O'Hare Intl
